% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
9344	0	6	1	0	16	193	2	0	1	6.26324e+06
9344	0	6	2	0	16	193	2	0	1	1.66245e+07
9344	0	7	1	0	16	193	2	0	1	2.82103e+06
9344	0	7	2	0	16	193	2	0	1	6.26324e+06
9344	0	8	1	0	16	193	2	0	1	1.43727e+06
9344	0	8	2	0	16	193	2	0	1	2.82103e+06
9344	0	9	1	0	16	193	2	0	1	801389
9344	0	9	2	0	16	193	2	0	1	1.43727e+06
9344	0	10	1	0	16	193	2	0	1	478706
9344	0	10	2	0	16	193	2	0	1	801389
9344	0	11	1	0	16	193	2	0	1	12.6725
9344	0	11	2	0	16	193	2	0	1	12.6974
9352	0	3	1	0	16	193	3	0	1	3.44867e+08
9352	0	3	2	0	16	193	3	0	1	7.15411e+09
9352	0	4	1	0	16	193	3	0	1	5.8521e+07
9352	0	4	2	0	16	193	3	0	1	3.44867e+08
9352	0	5	1	0	16	193	3	0	1	1.66245e+07
9352	0	5	2	0	16	193	3	0	1	5.8521e+07
9352	0	6	1	0	16	193	3	0	1	6.26324e+06
9352	0	6	2	0	16	193	3	0	1	1.66245e+07
9352	0	7	1	0	16	193	3	0	1	2.82103e+06
9352	0	7	2	0	16	193	3	0	1	6.26324e+06
9352	0	8	1	0	16	193	3	0	1	1.43727e+06
9352	0	8	2	0	16	193	3	0	1	2.82103e+06
9352	0	9	1	0	16	193	3	0	1	801389
9352	0	9	2	0	16	193	3	0	1	1.43727e+06
9352	0	10	1	0	16	193	3	0	1	478706
9352	0	10	2	0	16	193	3	0	1	801389
9352	0	11	1	0	16	193	3	0	1	12.6725
9352	0	11	2	0	16	193	3	0	1	12.6974
9368	0	3	1	0	16	193	0	1	1	3.44867e+08
9368	0	3	2	0	16	193	0	1	1	7.15411e+09
9368	0	4	1	0	16	193	0	1	1	5.8521e+07
9368	0	4	2	0	16	193	0	1	1	3.44867e+08
9368	0	5	1	0	16	193	0	1	1	1.66245e+07
9368	0	5	2	0	16	193	0	1	1	5.8521e+07
9368	0	6	1	0	16	193	0	1	1	6.26324e+06
9368	0	6	2	0	16	193	0	1	1	1.66245e+07
9368	0	7	1	0	16	193	0	1	1	2.82103e+06
9368	0	7	2	0	16	193	0	1	1	6.26324e+06
9368	0	8	1	0	16	193	0	1	1	1.43727e+06
9368	0	8	2	0	16	193	0	1	1	2.82103e+06
9368	0	9	1	0	16	193	0	1	1	801389
9368	0	9	2	0	16	193	0	1	1	1.43727e+06
9368	0	10	1	0	16	193	0	1	1	478706
9368	0	10	2	0	16	193	0	1	1	801389
9368	0	11	1	0	16	193	0	1	1	12.6725
9368	0	11	2	0	16	193	0	1	1	12.6974
9376	0	3	1	0	16	193	1	0	1	3.44867e+08
9376	0	3	2	0	16	193	1	0	1	7.15411e+09
